Priority,Category,File Path,Line,Column,Hardcoded String,Type,Translation Key,Notes
1,Conversion-Critical,app/(pseo)/_components/pseo/sections/CTASection.tsx,98,19,10 free credits,span,cta.benefits.freeCredits,CTA benefit badge
1,Conversion-Critical,app/(pseo)/_components/pseo/sections/CTASection.tsx,108,19,Quick signup,span,cta.benefits.quickSignup,CTA benefit badge
1,Conversion-Critical,app/(pseo)/_components/pseo/sections/CTASection.tsx,118,19,Instant results,span,cta.benefits.instantResults,CTA benefit badge
1,Conversion-Critical,app/(pseo)/_components/pseo/sections/HeroSection.tsx,64,18,AI-Powered Tool,div,hero.badge.aiPoweredTool,Badge with animated ping - complex JSX
1,Conversion-Critical,app/(pseo)/_components/pseo/sections/HeroSection.tsx,113,23,Free to start,span,hero.features.freeToStart,Feature benefit
1,Conversion-Critical,app/(pseo)/_components/pseo/sections/HeroSection.tsx,123,23,No watermarks,span,hero.features.noWatermarks,Feature benefit
1,Conversion-Critical,app/(pseo)/_components/pseo/sections/HeroSection.tsx,133,23,Instant results,span,hero.features.instantResults,Feature benefit
1,Conversion-Critical,app/[locale]/(pseo)/_components/pseo/sections/CTASection.tsx,98,19,10 free credits,span,cta.benefits.freeCredits,DUPLICATE - Locale variant
1,Conversion-Critical,app/[locale]/(pseo)/_components/pseo/sections/CTASection.tsx,108,19,Quick signup,span,cta.benefits.quickSignup,DUPLICATE - Locale variant
1,Conversion-Critical,app/[locale]/(pseo)/_components/pseo/sections/CTASection.tsx,118,19,Instant results,span,cta.benefits.instantResults,DUPLICATE - Locale variant
1,Conversion-Critical,app/[locale]/(pseo)/_components/pseo/sections/HeroSection.tsx,64,18,AI-Powered Tool,div,hero.badge.aiPoweredTool,DUPLICATE - Locale variant
1,Conversion-Critical,app/[locale]/(pseo)/_components/pseo/sections/HeroSection.tsx,113,23,Free to start,span,hero.features.freeToStart,DUPLICATE - Locale variant
1,Conversion-Critical,app/[locale]/(pseo)/_components/pseo/sections/HeroSection.tsx,123,23,No watermarks,span,hero.features.noWatermarks,DUPLICATE - Locale variant
1,Conversion-Critical,app/[locale]/(pseo)/_components/pseo/sections/HeroSection.tsx,133,23,Instant results,span,hero.features.instantResults,DUPLICATE - Locale variant
2,Functional,app/(pseo)/_components/tools/BackgroundRemover.tsx,125,87,Original,label,backgroundRemover.labels.original,Form label
2,Functional,app/(pseo)/_components/tools/BackgroundRemover.tsx,143,87,Background Removed,label,backgroundRemover.labels.backgroundRemoved,Form label
2,Functional,app/(pseo)/_components/tools/BackgroundRemover.tsx,180,69,File Details,h3,backgroundRemover.fileDetails.heading,Section heading
2,Functional,app/(pseo)/_components/tools/BackgroundRemover.tsx,183,59,Name:,span,backgroundRemover.fileDetails.name,File info label
2,Functional,app/(pseo)/_components/tools/BackgroundRemover.tsx,187,59,Size:,span,backgroundRemover.fileDetails.size,File info label
2,Functional,app/(pseo)/_components/tools/BackgroundRemover.tsx,191,59,Type:,span,backgroundRemover.fileDetails.type,File info label
2,Functional,app/(pseo)/_components/tools/BackgroundRemover.tsx,196,61,Output:,span,backgroundRemover.fileDetails.output,File info label
2,Functional,app/(pseo)/_components/tools/BackgroundRemover.tsx,197,52,PNG ({size}MB),span,backgroundRemover.fileDetails.pngFormat,Partial hardcode - has dynamic size
2,Functional,app/(pseo)/_components/tools/BackgroundRemover.tsx,198,75,PNG ({size}MB),span,backgroundRemover.fileDetails.pngFormat,DUPLICATE - code duplication issue
2,Functional,app/[locale]/(pseo)/_components/tools/BackgroundRemover.tsx,199,52,PNG ({size}MB),span,backgroundRemover.fileDetails.pngFormat,Partial conversion - only PNG remains
2,Functional,app/[locale]/(pseo)/_components/tools/BackgroundRemover.tsx,200,75,PNG ({size}MB),span,backgroundRemover.fileDetails.pngFormat,Partial conversion - only PNG remains
2,Functional,app/(pseo)/_components/tools/FormatConverter.tsx,182,89,Original Image,label,formatConverter.labels.originalImage,Form label
2,Functional,app/(pseo)/_components/tools/FormatConverter.tsx,202,89,Conversion Preview,label,formatConverter.labels.conversionPreview,Form label
2,Functional,app/(pseo)/_components/tools/FormatConverter.tsx,242,16,Convert To,label,formatConverter.labels.convertTo,Format selection label
2,Functional,app/(pseo)/_components/tools/FormatConverter.tsx,265,96,Quality,label,formatConverter.labels.quality,Quality setting label
2,Functional,app/(pseo)/_components/tools/FormatConverter.tsx,287,18,Background Color (for transparent areas),label,formatConverter.labels.backgroundColor,Color picker label - long text
2,Functional,app/(pseo)/_components/tools/FormatConverter.tsx,304,22,White,button,formatConverter.buttons.whiteColor,Color preset button
2,Functional,app/(pseo)/_components/tools/FormatConverter.tsx,310,22,Black,button,formatConverter.buttons.blackColor,Color preset button
2,Functional,app/(pseo)/_components/tools/FormatConverter.tsx,315,67,JPEG doesn't support transparency. Transparent areas will be filled with this color.,p,formatConverter.info.jpegTransparency,Long informational text
2,Functional,app/(pseo)/_components/tools/FormatConverter.tsx,327,47,Converting:,span,formatConverter.status.converting,Status label
2,Functional,app/(pseo)/_components/tools/FormatConverter.tsx,330,47,Original:,span,formatConverter.status.original,File info label
2,Functional,app/(pseo)/_components/tools/FormatConverter.tsx,334,51,Result:,span,formatConverter.status.result,File info label
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,124,89,Original Image,label,imageCompressor.labels.originalImage,Form label
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,144,89,Compression Preview,label,imageCompressor.labels.compressionPreview,Form label
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,150,71,Quality Setting,p,imageCompressor.labels.qualitySetting,Form label
2,Functional,app/(pseo)/_components/tools/ImageCompressor.tsx,154,45,% smaller,p,imageCompressor.info.smallerPercentage,Partial hardcode - percentage wrapper
